nohup: ignoring input
wandb: Appending key for api.wandb.ai to your netrc file: /home/navarro/.netrc
wandb: Currently logged in as: luismedrano2000 (luismedrano2000-university-of-zaragoza) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /home/navarro/FM-3D-Turbulence/wandb/run-20250522_171202-q1f6g7pk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wobbly-darkness-151
wandb: ⭐️ View project at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm
wandb: 🚀 View run at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm/runs/q1f6g7pk
Loading config...
cuda:3
Loading dataset...
N_time: 100, N_channels: 4, Nx: 128, Ny: 128, Nz: 128
Data mean: tensor([ 0.0244, -0.4655, -0.2085, -0.0685]), std: tensor([0.5439, 0.5585, 0.7061, 0.3694])
Velocity shape: torch.Size([100, 3, 128, 128, 128])
Pressure shape: torch.Size([100, 1, 128, 128, 128])
Vorticity shape: torch.Size([100, 3, 128, 128, 128])
Vorticity magnitude shape: torch.Size([100, 1, 128, 128, 128])
Velocity mean: tensor([ 0.0244, -0.4655, -0.2085]), std: tensor([0.5439, 0.5585, 0.7061])
Pressure mean: tensor([-0.0685]), std: tensor([0.3694])
Vorticity mean: tensor([-0.0026,  0.0051,  0.0053]), std: tensor([0.0830, 0.0897, 0.0814])
Vorticity magnitude mean: tensor([0.1137]), std: tensor([0.0932])
Starting training...
Epoch [69/1000], Loss: 0.0038, Validation Loss: 0.0310
Saved checkpoint: runs/080/epoch_70_0.0015_0.0441.pth
Epoch [70/1000], Loss: 0.0015, Validation Loss: 0.0441
Epoch [71/1000], Loss: 0.0021, Validation Loss: 0.0445
Epoch [72/1000], Loss: 0.0014, Validation Loss: 0.0366
Epoch [73/1000], Loss: 0.0016, Validation Loss: 0.0560
Epoch [74/1000], Loss: 0.0015, Validation Loss: 0.0689
Epoch [75/1000], Loss: 0.0015, Validation Loss: 0.0358
Epoch [76/1000], Loss: 0.0017, Validation Loss: 0.0290
Epoch [77/1000], Loss: 0.0017, Validation Loss: 0.0300
Epoch [78/1000], Loss: 0.0013, Validation Loss: 0.0581
Epoch [79/1000], Loss: 0.0014, Validation Loss: 0.0414
Saved checkpoint: runs/080/epoch_80_0.0017_0.0322.pth
Epoch [80/1000], Loss: 0.0017, Validation Loss: 0.0322
Epoch [81/1000], Loss: 0.0014, Validation Loss: 0.0366
Epoch [82/1000], Loss: 0.0021, Validation Loss: 0.0291
Epoch [83/1000], Loss: 0.0015, Validation Loss: 0.0477
Epoch [84/1000], Loss: 0.0014, Validation Loss: 0.0709
Epoch [85/1000], Loss: 0.0013, Validation Loss: 0.0245
Epoch [86/1000], Loss: 0.0018, Validation Loss: 0.0284
Epoch [87/1000], Loss: 0.0013, Validation Loss: 0.0302
Epoch [88/1000], Loss: 0.0017, Validation Loss: 0.0349
Epoch [89/1000], Loss: 0.0014, Validation Loss: 0.0334
Saved checkpoint: runs/080/epoch_90_0.0014_0.0232.pth
Epoch [90/1000], Loss: 0.0014, Validation Loss: 0.0232
Epoch [91/1000], Loss: 0.0013, Validation Loss: 0.0254
Epoch [92/1000], Loss: 0.0018, Validation Loss: 0.0299
Epoch [93/1000], Loss: 0.0014, Validation Loss: 0.0328
